,년월,연도,월,시도,사용량,위도,경도
406,2020_10,2020,10,경상남도,2570214,35.460156,128.215601
407,2021_10,2021,10,경상남도,2697874,35.460156,128.215601
408,2010_11,2010,11,경상남도,2623317,35.460156,128.215601
409,2011_11,2011,11,경상남도,2672113,35.460156,128.215601
410,2012_11,2012,11,경상남도,2658605,35.460156,128.215601
411,2013_11,2013,11,경상남도,2711209,35.460156,128.215601
412,2014_11,2014,11,경상남도,2694710,35.460156,128.215601
413,2015_11,2015,11,경상남도,2710128,35.460156,128.215601
414,2016_11,2016,11,경상남도,2767897,35.460156,128.215601
415,2017_11,2017,11,경상남도,2786077,35.460156,128.215601
416,2018_11,2018,11,경상남도,2814898,35.460156,128.215601
417,2019_11,2019,11,경상남도,2728516,35.460156,128.215601
418,2020_11,2020,11,경상남도,2847815,35.460156,128.215601
419,2021_11,2021,11,경상남도,2868923,35.460156,128.215601
420,2010_12,2010,12,경상남도,2914222,35.460156,128.215601
421,2011_12,2011,12,경상남도,2986919,35.460156,128.215601
422,2012_12,2012,12,경상남도,2955629,35.460156,128.215601
423,2013_12,2013,12,경상남도,3014663,35.460156,128.215601
424,2014_12,2014,12,경상남도,3053737,35.460156,128.215601
425,2015_12,2015,12,경상남도,2970379,35.460156,128.215601
426,2016_12,2016,12,경상남도,3047586,35.460156,128.215601
427,2017_12,2017,12,경상남도,3139455,35.460156,128.215601
428,2018_12,2018,12,경상남도,3071315,35.460156,128.215601
429,2019_12,2019,12,경상남도,3011920,35.460156,128.215601
430,2020_12,2020,12,경상남도,3139659,35.460156,128.215601
431,2021_12,2021,12,경상남도,3134010,35.460156,128.215601
432,2010_1,2010,1,경상북도,3743904,36.327952,128.951526
433,2011_1,2011,1,경상북도,4066080,36.327952,128.951526
434,2012_1,2012,1,경상북도,3952918,36.327952,128.951526
435,2013_1,2013,1,경상북도,4048362,36.327952,128.951526
436,2014_1,2014,1,경상북도,4164536,36.327952,128.951526
437,2015_1,2015,1,경상북도,4222897,36.327952,128.951526
438,2016_1,2016,1,경상북도,3973144,36.327952,128.951526
439,2017_1,2017,1,경상북도,4016218,36.327952,128.951526
440,2018_1,2018,1,경상북도,4179139,36.327952,128.951526
441,2019_1,2019,1,경상북도,4165072,36.327952,128.951526
442,2020_1,2020,1,경상북도,3760339,36.327952,128.951526
443,2021_1,2021,1,경상북도,3998481,36.327952,128.951526
444,2010_2,2010,2,경상북도,3471888,36.327952,128.951526
445,2011_2,2011,2,경상북도,3684612,36.327952,128.951526
446,2012_2,2012,2,경상북도,3832480,36.327952,128.951526
447,2013_2,2013,2,경상북도,3717744,36.327952,128.951526
448,2014_2,2014,2,경상북도,3841506,36.327952,128.951526
449,2015_2,2015,2,경상북도,3806760,36.327952,128.951526
450,2016_2,2016,2,경상북도,3756360,36.327952,128.951526
451,2017_2,2017,2,경상북도,3858427,36.327952,128.951526
452,2018_2,2018,2,경상북도,3978655,36.327952,128.951526
453,2019_2,2019,2,경상북도,3733473,36.327952,128.951526
454,2020_2,2020,2,경상북도,3562814,36.327952,128.951526
