,년월,연도,월,시도,사용량
491,2014.3,2014,03,충청남도,4085945
492,2014.3,2014,03,충청북도,1921157
493,2015.3,2015,03,강원도,1438930
494,2015.3,2015,03,경기도,8783408
495,2015.3,2015,03,경상남도,2964230
496,2015.3,2015,03,경상북도,3833618
497,2015.3,2015,03,광주광역시,686980
498,2015.3,2015,03,대구광역시,1233059
499,2015.3,2015,03,대전광역시,761115
500,2015.3,2015,03,부산광역시,1655945
501,2015.3,2015,03,서울특별시,3592926
502,2015.3,2015,03,세종특별자치시,222292
503,2015.3,2015,03,울산광역시,2464928
504,2015.3,2015,03,인천광역시,1959769
505,2015.3,2015,03,전라남도,2949659
506,2015.3,2015,03,전라북도,1943996
507,2015.3,2015,03,제주특별자치도,378029
508,2015.3,2015,03,충청남도,4025780
509,2015.3,2015,03,충청북도,1965128
510,2016.3,2016,03,강원도,1467505
511,2016.3,2016,03,경기도,9305513
512,2016.3,2016,03,경상남도,3061924
513,2016.3,2016,03,경상북도,3898041
514,2016.3,2016,03,광주광역시,714023
515,2016.3,2016,03,대구광역시,1281266
516,2016.3,2016,03,대전광역시,790757
517,2016.3,2016,03,부산광역시,1717796
518,2016.3,2016,03,서울특별시,3729909
519,2016.3,2016,03,세종특별자치시,241009
520,2016.3,2016,03,울산광역시,2760005
521,2016.3,2016,03,인천광역시,2033501
522,2016.3,2016,03,전라남도,2766219
523,2016.3,2016,03,전라북도,2003641
524,2016.3,2016,03,제주특별자치도,404279
525,2016.3,2016,03,충청남도,4090460
526,2016.3,2016,03,충청북도,1979334
527,2017.3,2017,03,강원도,1460105
528,2017.3,2017,03,경기도,9551033
529,2017.3,2017,03,경상남도,2992019
530,2017.3,2017,03,경상북도,3827880
531,2017.3,2017,03,광주광역시,717911
532,2017.3,2017,03,대구광역시,1263786
533,2017.3,2017,03,대전광역시,779387
534,2017.3,2017,03,부산광역시,1693920
535,2017.3,2017,03,서울특별시,3649111
536,2017.3,2017,03,세종특별자치시,247248
537,2017.3,2017,03,울산광역시,2659206
538,2017.3,2017,03,인천광역시,2042082
539,2017.3,2017,03,전라남도,2846966
540,2017.3,2017,03,전라북도,1996166
